UTM 10X10,COUNTRY,Tmax30-REM 1971-2000,Tmax30nd5d-REM 1971-2000,TmaxAvemin-REM 1971-2000,TmaxAvemin5d-REM 1971-2000,Tmax30-WRA 1971-2000,Tmax30nd5d-WRA 1971-2000,TmaxAvemin-WRA 1971-2000,TmaxAvemin5d-WRA 1971-2000,Tmax30-WRB 1971-2000,Tmax30nd5d-WRB 1971-2000,TmaxAvemin-WRB 1971-2000,TmaxAvemin5d-WRB 1971-2000,Tmax30-PRO 1971-2000,Tmax30nd5d-PRO 1971-2000,TmaxAvemin-PRO 1971-2000,TmaxAvemin5d-PRO 1971-2000,Tmax30-MM5 1971-2000,Tmax30nd5d-MM5 1971-2000,TmaxAvemin-MM5 1971-2000,TmaxAvemin5d-MM5 1971-2000,PrAvemax-REM 1971-2000,PrAvemax5d-REM 1971-2000,Pr1mm-REM 1971-2000,Pr1mm5d-REM 1971-2000,PrAvemax-WRA 1971-2000,PrAvemax5d-WRA 1971-2000,Pr1mm-WRA 1971-2000,Pr1mm5d-WRA 1971-2000,PrAvemax-WRB 1971-2000,PrAvemax5d-WRB 1971-2000,Pr1mm-WRB 1971-2000,Pr1mm5d-WRB 1971-2000,PrAvemax-PRO 1971-2000,PrAvemax5d-PRO 1971-2000,Pr1mm-PRO 1971-2000,Pr1mm5d-PRO 1971-2000,PrAvemax-MM5 1971-2000,PrAvemax5d-MM5 1971-2000,Pr1mm-MM5 1971-2000,Pr1mm5d-MM5 1971-2000,Hum-relat-REM 1971-2000,Hum-relat-WRA 1971-2000,Hum-relat-WRB 1971-2000,Hum-relat-PRO 1971-2000,Hum-relat-MM5 1971-2000,Tmax30-REM 2021-2050,Tmax30nd5d-REM 2021-2050,TmaxAvemin-REM 2021-2050,TmaxAvemin5d-REM 2021-2050,Tmax30-WRA 2021-2050,Tmax30nd5d-WRA 2021-2050,TmaxAvemin-WRA 2021-2050,TmaxAvemin5d-WRA 2021-2050,Tmax30-WRB 2021-2050,Tmax30nd5d-WRB 2021-2050,TmaxAvemin-WRB 2021-2050,TmaxAvemin5d-WRB 2021-2050,Tmax30-PRO 2021-2050,Tmax30nd5d-PRO 2021-2050,TmaxAvemin-PRO 2021-2050,TmaxAvemin5d-PRO 2021-2050,Tmax30-MM5 2021-2050,Tmax30nd5d-MM5 2021-2050,TmaxAvemin-MM5 2021-2050,TmaxAvemin5d-MM5 2021-2050,PrAvemax-REM 2021-2050,PrAvemax5d-REM 2021-2050,Pr1mm-REM 2021-2050,Pr1mm5d-REM 2021-2050,PrAvemax-WRA 2021-2050,PrAvemax5d-WRA 2021-2050,Pr1mm-WRA 2021-2050,Pr1mm5d-WRA 2021-2050,PrAvemax-WRB 2021-2050,PrAvemax5d-WRB 2021-2050,Pr1mm-WRB 2021-2050,Pr1mm5d-WRB 2021-2050,PrAvemax-PRO 2021-2050,PrAvemax5d-PRO 2021-2050,Pr1mm-PRO 2021-2050,Pr1mm5d-PRO 2021-2050,PrAvemax-MM5 2021-2050,PrAvemax5d-MM5 2021-2050,Pr1mm-MM5 2021-2050,Pr1mm5d-MM5 2021-2050,Hum-relat-REM 2021-2050,Hum-relat-WRA 2021-2050,Hum-relat-WRB 2021-2050,Hum-relat-PRO 2021-2050,Hum-relat-MM5 2021-2050
CG91,SPAIN,46.8,4.7,26.17,1.03,12,0.57,25.1,1.77,7.5,0.27,31.37,1.9,34.83,3.77,36.6,2.6,2.9,0.07,22.93,1.1,59.77,0.53,295.7,41.47,61.1,0.57,303.07,44.4,59.03,0.93,302.1,44.37,68.53,1.07,272.93,35.07,60.53,0.83,287.37,39,58.3,67.1,63.99,76.38,67.67,67.1,7.73,26.23,1.33,21,1.53,25.2,1.43,16.27,1.07,30.63,1.9,55.4,6.97,37.9,2.67,4.7,0.07,21.9,1.13,55.63,0.6,302.87,43.67,59.47,0.77,304.77,43.93,57.43,0.67,304.13,44.9,65.23,0.77,282.1,36.63,77.13,1.33,259.6,29.63,57.56,66.62,64.15,75.06,68.59
CG92,SPAIN,44.47,4.53,25.8,0.93,11.6,0.53,26.9,1.97,8.37,0.37,33,1.97,36.1,4.03,35.77,2.57,2.77,0.07,22.3,1.2,63.2,0.73,289.77,39.83,59.53,0.47,304.53,44.6,58.17,0.93,302.43,44.2,67.7,0.87,276.9,35.23,61.77,0.87,287.83,39.53,56.51,66.22,63.04,74.63,66.73,65.33,7.4,26.53,1.2,20.3,1.53,26.77,1.6,17.6,1.23,31.97,2.1,55.67,6.73,37.53,2.53,4.3,0.07,21.27,1.1,59.1,1.03,296.3,41.87,58,0.7,305.5,44.37,56.2,0.57,305.33,45.4,64.27,0.73,283.97,37.2,76.33,1.2,259.4,29.47,55.69,65.64,63.19,73.27,67.64
CG93,SPAIN,40.87,3.93,26,0.93,9.43,0.4,30.57,2.23,6.6,0.33,35.53,2.3,24,2.2,37.43,2.57,2.7,0.1,21.53,1.2,65.63,0.83,282.87,37.2,62.2,0.67,299.57,42.73,60.07,1,299.9,43.23,74.27,1.1,260.37,31.07,60.33,0.73,290.33,40.23,54.49,65.14,62.2,74.99,65.77,62.03,7.17,26.5,1.13,16.6,1.2,30.8,1.9,13.97,0.87,34.27,2.3,43.27,5,40.07,2.77,3.93,0.07,20.23,1.03,61.03,1.03,290,39.97,60.03,0.87,300.73,42.37,57.73,0.7,302,44.23,71.13,1.2,267.87,32.5,73.97,0.83,263.27,30.43,53.62,64.61,62.35,73.77,66.67
CG94,SPAIN,36.27,3.27,26.53,0.97,6.43,0.2,35.53,2.63,4.77,0.2,37.77,2.83,16.8,1.3,39.23,2.6,1.57,0.03,23.97,1.53,65.63,0.77,280.53,36.43,62.57,0.77,297.27,42.23,60.37,0.77,297.53,42.1,78.77,1.33,248.53,27.7,62.1,0.73,286.5,39,52.53,64.03,61.43,75.07,65.31,58.37,6.6,27.33,1.1,12.47,0.87,35.5,2.27,10.47,0.57,37.07,2.57,36.4,4.13,42.6,3,2.03,0.07,22.23,1.3,61.17,1.23,288.03,39.23,60.53,0.93,298.8,41.93,58,0.8,299.9,43.03,75.2,1.53,257.03,29.7,74.77,1.07,259.3,29.47,51.63,63.61,61.58,74.02,66.15
CG95,SPAIN,18.03,1.2,29.53,1.6,3.4,0.03,42.6,3.2,2.5,0.07,41.23,3.23,6.6,0.33,41.2,3,0.53,0,28.7,1.9,67.67,0.97,275.63,35.07,62.8,0.73,293.57,41.37,61.6,0.83,294.03,41.13,81.43,1.43,244.5,26.53,64.2,0.83,282.1,37.73,54.25,63.78,61.45,74.66,65.08,37.17,3.13,28.77,1.37,8.07,0.47,41.7,2.87,6.8,0.4,41.23,2.93,18.93,2.07,44,3.13,0.97,0.03,26.5,1.77,62.63,1.27,284.8,37.67,60.33,0.9,294.27,40.4,58.83,0.97,296.37,41.87,76.4,1.67,252.5,28.8,76.07,1.23,252.57,27.23,53.3,63.43,61.54,73.77,65.84
CG96,SPAIN,6.87,0.37,32.9,2.1,0.77,0,50.73,4.33,0.47,0,49.53,4.23,2.53,0.13,43.27,3.43,0.13,0,35,2.57,67,1.2,276.8,35.03,72.8,1.23,273.73,35.07,67.73,1.17,279.4,37,86.17,1.6,225.67,21.9,64.9,0.83,278.33,37.07,55.8,66.85,64.4,76.39,65.1,20.03,1.63,32.33,1.73,2.87,0.13,49.47,4.27,1.93,0.1,48.3,3.77,12.9,1.33,45.27,3.3,0.37,0,32.67,2.1,61.6,1.43,286.43,37.5,67.73,1.37,278.83,36.4,63.97,1.1,284.43,38.63,82.17,2.03,234.57,23.97,77.03,1.17,249.13,26.03,54.79,66.36,64.18,75.68,65.76
CG97,SPAIN,1.6,0.07,39.27,3.03,0.07,0,61.63,5.9,0,0,60.37,5.53,2.43,0.13,45.5,3.87,0,0,44.3,3.7,70.77,1.5,271.03,33.67,76.23,1.47,263.63,32.4,71.17,1.13,270.4,34.43,86.57,1.5,218.77,20.83,74.2,1.27,257.67,30.23,57.49,70.04,67.35,78.31,67.52,8.43,0.53,37.87,2.5,0.3,0,59.03,5.47,0.23,0,58.1,5.07,12.73,1.27,46.57,3.53,0,0,42.43,3.23,65.6,1.33,280.2,34.67,71.77,1.47,269.63,33.5,67.47,1.2,276.8,36.07,83.73,1.73,226.63,22.47,87.1,1.73,223.33,20,56.35,69.32,66.78,77.79,67.93
CG98,SPAIN,0.03,0,49.97,4.37,0,0,70.57,7.33,0,0,68.7,6.63,0,0,48.93,4.3,0,0,56.8,4.9,74.97,1.57,264.57,31.23,82.17,1.83,242.77,26.07,76.97,1.27,252.37,29.07,85.83,1.3,210.47,19.37,80.87,1.5,246.23,26.7,59.59,73.86,71.39,80.92,69.96,2.87,0.13,44.13,3.5,0,0,68.5,7.07,0,0,67.2,6.4,0.57,0,48.53,4.13,0,0,54.03,4.67,68.83,1.33,273,32.87,78.43,1.7,248.7,28,73.5,1.27,258.2,30.63,84.3,1.8,215.93,19.83,92.53,1.8,208.1,17.07,58.26,72.87,70.35,80.52,70.13
CG99,SPAIN,0,0,56.8,5.2,0,0,76.27,7.97,0,0,71.9,6.9,0,0,49.7,3.97,0,0,64.33,5.6,74.03,1.33,267.7,32.07,94.93,2.3,213.83,19.73,90.47,1.77,222.37,21.9,92.73,1.73,176.5,13.23,87.83,1.8,225.03,21.3,61.9,78.42,76.81,84.53,72.14,0.6,0,48.03,3.83,0,0,75.17,7.83,0,0,72.37,7.07,0,0,51.17,4.3,0,0,61.47,5.77,68.03,0.93,274.27,33.03,92.13,2.1,222.77,21.8,87.4,1.83,232,24.67,92.77,1.97,180.13,13.33,99.13,2.03,186.4,13.17,60.36,77.24,75.22,84.12,72.06
CH00,SPAIN,0,0,56.67,5.33,0,0,79.03,8.1,0,0,71.23,6.9,0,0,55.4,4.53,0,0,62,5.2,82.77,1.77,241.93,26.2,92.3,2.1,216.4,21.43,91.07,2.2,220.57,22.73,87.53,1.37,164.5,11.77,94.8,2.53,212.47,20.6,65.43,79.19,78.72,84.28,74.29,0.43,0.03,50.43,4.6,0,0,80.77,9,0,0,73.4,7.47,0,0,56.53,5.3,0,0,60.9,5.4,76.33,1.6,253.97,29.9,89,2.3,226.23,23.2,87.17,2.13,229.07,25.47,84.93,1.27,169.9,11.83,106.3,2.73,174.83,12.13,63.99,77.99,77.11,84,74.49
CH01,SPAIN,0,0,55.6,5,0,0,80.67,8.03,0,0,69.93,6.53,0,0,53.1,4.07,0,0,69.6,5.87,101.83,2.97,218.67,21.03,106.77,3.2,194.3,16.43,105.03,3.13,197.67,17.6,113.23,3.2,131.27,7.77,101.9,3.1,199.73,18.2,69.93,82.81,82.94,87.54,77.48,0.07,0,56.1,5.43,0,0,84.33,9.5,0,0,75.2,7.27,0,0,56.33,5.13,0,0,67.83,6.47,93.83,2.43,235.33,25.97,101.6,3.07,205.93,19.53,100.8,3.13,208.43,21.3,109.6,3.07,138.53,7.8,113.27,3.23,163.77,10,68.2,81.47,81.04,87.22,77.46
CH02,SPAIN,0,0,55.27,3.97,0,0,83.03,8.03,0,0,71.07,6.27,0,0,53.5,4,0,0,67.9,5.8,99.33,3.1,224.73,22.53,107.8,3.63,189.5,15.93,106.7,3.43,191.5,16.43,115.47,3.73,128.87,6.9,105.77,2.97,187.3,15.4,74.43,84.89,85.4,89.84,77.54,0,0,68.37,7.8,0,0,88.7,9.6,0,0,77.53,7.67,0,0,58.63,5.1,0,0,66.83,6.57,89.2,2.33,241.5,27.17,103.97,2.93,199.93,17.63,103.77,3.57,202.5,19.6,112.87,3.57,133.1,7.67,117.2,3.17,157,8.67,72.42,83.5,83.4,89.48,77.4
CH03,SPAIN,0,0,53.23,4.4,0,0,80.67,8,0,0,69.53,6.03,0,0,55.83,4.63,0,0,64.77,5.33,105.2,3.83,202.33,17.37,108.67,3.7,185.8,15.13,108.03,3.7,188.37,15.97,109.43,3.77,135.17,7.13,106,2.97,185.6,14.4,71.31,81.93,82.32,87.89,76.27,0.53,0,60.93,6.47,0,0,83.37,8.67,0,0,72.73,6.77,0.3,0,60.83,5.17,0,0,63.67,6.1,96.3,3.07,219.1,21.4,105.67,3.47,194.4,16.27,104.53,3.53,196.5,17.6,107.6,3.43,139.93,7.57,117.8,2.87,159.77,8.9,69.45,80.74,80.65,87.48,76.05
CH04,SPAIN,0.7,0,51.87,4.63,0.03,0,77.43,7.3,0,0,65.87,5.37,0,0,59,5.53,0,0,60.67,5.03,104.43,3.47,194.8,15.93,104.57,3.6,189.6,15.53,105.23,3.6,190.6,16.17,106.97,3.43,157.17,9.4,102.8,2.73,191.6,14.9,67.33,77.93,78.25,84.45,74.91,4.93,0.2,53.13,4.6,0.13,0,77.5,7.47,0.13,0,66.73,5.97,0.3,0,61.57,5.1,0,0,59.63,5.5,97.43,3.07,209.57,19.17,100.77,3.23,197.07,16.27,102.23,3.17,196.83,16.83,105.4,3.17,161.37,9.47,113.3,2.73,176.43,11.13,65.67,77.03,77.03,84.01,74.64
CH10,SPAIN,0,0,57.03,5.37,0,0,79.73,8.33,0,0,71.8,7.13,0,0,55.97,4.57,0,0,61.47,5.17,83.8,1.67,249.87,28.07,90.77,1.93,223.7,22.73,88.97,1.87,228.27,23.4,86.07,1.57,203.1,19.27,94.97,2.63,210.7,20.3,65.42,80.49,80.02,84.91,74.36,0.37,0.03,50.4,4.37,0,0,81.77,9.3,0,0,74.27,7.73,0,0,55.87,5.33,0,0,60.33,5.4,76.8,1.6,258.67,31.13,86.5,2.03,231.83,25.03,84.87,2,235.23,26.7,82.9,1.33,205.07,18.17,107.47,2.57,173.6,12.03,63.98,79.2,78.24,84.61,74.55
CH11,SPAIN,0,0,53.67,4.83,0,0,80.63,8.2,0,0,70.83,6.5,0,0,53.67,4.27,0,0,69.73,5.77,104.1,2.87,216,20.5,106.6,3.13,192.03,15.77,105.7,3.3,196.5,17.27,113.23,2.9,135.37,7.83,102.33,3.1,198.73,18.2,69.92,82.43,82.32,87.31,77.35,0.03,0,53.83,4.97,0,0,83.5,9.5,0,0,74.73,7.23,0,0,56.43,4.97,0,0,67.37,6.33,95.33,2.63,232,24.87,101.77,2.97,203.3,19,101.43,3.13,206.37,20.43,109.37,2.93,141.97,8.23,113.9,3.13,164.17,10.07,68.21,81.09,80.45,86.97,77.33
CH12,SPAIN,0,0,49.4,3.3,0,0,83,8.33,0,0,72.77,6.57,0,0,54.33,4.33,0,0,68.33,5.8,102,3.37,218.57,21.57,109.97,3.57,182.93,14.47,108.23,3.6,187.93,15.5,113.53,3.7,134.4,7.47,106.3,3.03,187.37,15.27,74.43,83.42,83.52,88.77,77.31,0,0,64.23,6.63,0,0,86.33,9.57,0,0,76.6,7.83,0,0,58.93,5.27,0,0,66.87,6.47,92.43,2.73,234.47,25.23,106.77,3.37,194.53,16.43,105.23,3.4,197.53,17.97,110.27,3.47,140.83,7.87,117.87,3.3,157.3,8.93,72.44,82.06,81.61,88.37,77.17
CH13,SPAIN,0,0,49.83,3.8,0,0,82.7,8.4,0,0,72,6.43,0.47,0,55.63,4.73,0,0,65.47,5.6,103.43,3.83,206.33,18.37,107.8,3.67,185.73,15,106.97,3.47,188.77,15.57,103.9,4.23,164.3,11.03,106.43,3.07,184.53,14.2,73.22,81.89,82.03,88.09,76.1,0.2,0,62.4,6.3,0,0,85.93,9,0,0,74.97,7.03,4.07,0.13,63.53,5.57,0,0,64.57,6.03,94.77,3.1,223,22.13,105,3.3,193.53,16.03,104.4,3.4,194.7,16.9,100.87,3.6,169.13,11.37,117.7,2.83,160.2,9.07,71.29,80.66,80.31,87.64,75.88
CH14,SPAIN,0.47,0,50.4,4.33,0.03,0,77.47,7.33,0,0,66.83,5.4,0.47,0,59.13,5.5,0,0,62.07,5.4,103.77,3.43,198,16.6,105.07,3.73,189.7,15.6,105.93,3.67,190.77,16.33,107.3,3.73,165.63,11.17,103.93,3,189.97,14.4,69.32,77.86,78.07,84.6,74.79,3.73,0.1,54.27,4.77,0.13,0,77.4,7.43,0.13,0,67.13,6.07,4.07,0.13,62.07,5.07,0,0,60.7,5.27,95.8,2.87,212.8,20.13,101.53,3.33,196.57,16.43,102,3.13,195.73,16.8,105.97,3.43,170.5,11.23,113.77,2.7,175.43,11,67.6,76.95,76.81,84.14,74.53
CH20,SPAIN,0,0,57.97,5.47,0,0,75.83,7.5,0,0,69.8,6.73,0.33,0,53.2,4.23,0,0,61.23,5.17,83.03,1.5,256.43,29.73,94.47,2.2,219.83,21.63,91,1.93,225.2,22.6,86.77,1.47,205.63,19.53,95.83,2.7,210.77,20.33,65.46,80.57,79.93,85.37,74.43,0.27,0.03,50.5,4.17,0,0,77.8,8.53,0,0,71.8,7.03,6.4,0.4,54.53,4.83,0,0,60,5.43,77,1.4,264.9,32.13,90.03,2.2,229.77,24.27,87.47,1.93,232.23,25.57,84.13,1.53,207.87,18.8,108.07,2.53,174.47,11.83,64.03,79.29,78.25,85.05,74.6
CH21,SPAIN,0,0,54.17,4.8,0,0,80.07,8.07,0,0,71.5,6.7,0,0,54.73,4.43,0,0,69.4,5.83,102.87,2.7,217.33,20.73,105.43,2.93,194.5,16.17,104.2,3.13,198.83,17.27,109.6,2.53,145.9,8.9,102.17,3,199.5,18.17,69.77,82.61,82.36,87.78,77.21,0.03,0,53.13,4.77,0,0,82.4,9.1,0,0,74.47,7.1,0,0,56.9,5.07,0,0,67.23,6.47,95.43,2.5,232.23,24.8,101.77,2.77,205,19.5,101.17,3.33,208.73,20.47,107.67,2.73,152.37,9.43,114.4,3.07,165.77,10,68.07,81.26,80.5,87.43,77.18
CH22,SPAIN,0,0,48.43,3.47,0,0,82.97,8.47,0,0,73.37,6.67,0,0,55.8,4.93,0,0,68.93,5.77,104.73,3.53,213.43,20.2,110.33,3.33,183.77,14.53,108.37,3.3,188.23,15.47,113.9,3.77,139.27,7.63,106.07,3.07,188,15.43,73.38,82.75,82.58,87.99,77.08,0,0,59.63,5.97,0,0,85.33,9.43,0,0,75.97,7.67,0,0,59.27,5.5,0,0,67.23,6.47,94.83,2.83,230.17,24.1,107.2,3.37,195.4,16.33,105.57,3.37,196.97,17.53,111.3,3.53,144.7,8.13,117.83,3.1,158.2,9.03,71.44,81.41,80.72,87.58,76.95
CH23,SPAIN,0,0,50.93,4.1,0,0,87.5,9.33,0,0,76.8,7.33,0,0,58.73,5.27,0,0,67.23,5.87,102.83,3.87,209.27,19.4,104.67,3.47,190.77,15.9,105.53,3.53,192.03,16.3,104.53,4.17,163.37,10.6,106.3,3.17,184.2,13.93,72.92,81.88,81.64,87.4,75.93,0.3,0,61.53,6.2,0,0,89.47,9.77,0,0,79.13,7.47,0,0,65.73,6,0,0,65.23,6.1,94.23,3.03,226.67,22.93,102.2,3.17,199.33,17.03,102.33,3.4,200.07,17.3,101.93,3.43,168.37,10.87,116.83,2.83,161.7,9.3,70.98,80.58,79.84,86.95,75.72
CH24,SPAIN,0.73,0,50.8,4.5,0.03,0,77.97,7.3,0,0,68.13,5.7,0.47,0,61.13,5.77,0,0,63.37,5.7,105.53,3.43,196.23,16.33,104.57,3.7,192.63,15.6,104.9,3.63,192.8,16.3,106.7,3.83,166.77,11.17,103.8,3.17,190.37,14.47,68.65,77.87,77.9,84.42,74.66,4.97,0.23,54.1,4.9,0.13,0,78.43,7.7,0.13,0,67.93,6.27,4.07,0.13,63.37,5.47,0,0,62.07,5.4,97.73,2.93,210.8,19.5,99.97,3.2,198.77,16.73,101.47,3.13,198.27,16.97,105.63,3.3,171.6,11.13,113,2.6,176.5,11.1,66.95,76.95,76.6,83.96,74.41
CH30,SPAIN,0,0,57.57,5.23,0,0,72.9,7.03,0,0,68.33,6.2,0,0,51.87,4.1,0,0,61.27,5.03,84.37,1.53,251.43,28.37,96.9,2.27,218.8,21.27,92.93,1.97,223.73,22.3,91.97,1.7,177.2,13.13,96.77,2.73,208.37,20.13,66.06,80.48,79.66,85.24,74.61,0.23,0,51.1,4.37,0,0,74.37,7.9,0,0,70.2,6.8,0.27,0,53.7,4.73,0,0,60.6,5.53,77.83,1.47,261.13,30.87,92.63,2.23,228.57,23.9,90.3,2.13,230.83,25.27,90.27,1.57,182,13.63,109.57,2.7,172.2,11.33,64.54,79.19,78.09,84.89,74.71
CH31,SPAIN,0,0,56.53,4.97,0,0,78.23,7.6,0,0,71.53,6.47,0,0,54.53,4.53,0,0,69.17,5.63,100.33,2.43,219.53,21.2,102.7,2.87,203.3,17.9,100.97,2.73,207.07,18.47,110.47,2.67,152.27,9.53,103.1,3.03,197.73,17.77,69.11,83.6,83.34,88.04,77.33,0.1,0,54.33,4.83,0,0,80.9,8.5,0,0,74.23,7.23,0,0,56.57,5.2,0,0,68.2,6.4,91.67,2.27,234.23,24.73,98.3,2.43,213.93,21,96.97,2.83,215.6,22.03,108.4,2.83,157.6,9.93,115.53,2.97,163.03,9.6,67.38,82.22,81.45,87.68,77.26
CH32,SPAIN,0,0,55.07,4.5,0,0,81.13,8.27,0,0,72.67,6.77,0,0,56.7,5.2,0,0,69.07,5.77,104.9,3.1,212.87,20.1,109.7,3.17,186.3,14.8,108.77,3.3,190.3,15.77,114.43,3.63,141.73,7.67,106.9,3.1,187.27,15.1,71.16,82.63,82.33,87.53,77.05,0.2,0,58.17,5.77,0,0,83.17,9.07,0,0,74.47,7.3,0,0,60.27,5.5,0,0,67.73,6.4,95.53,2.63,228.6,23.17,106.67,3.33,197.7,16.9,105.07,3.27,198.63,17.8,111.93,3.17,148.13,8.43,118.93,3.17,157.13,8.93,69.27,81.31,80.52,87.12,76.88
CH33,SPAIN,0,0,59.7,6.03,0,0,83.2,8.67,0,0,74.1,6.97,0,0,63.23,6.53,0,0,68.17,6.03,99.87,3.5,216.1,20.8,105.2,3.37,186.3,14.8,106.43,3.53,189.67,15.67,106.53,3.93,156,9.17,106.3,3.43,182.87,13.7,71.19,80.92,80.61,86.23,75.84,0.8,0,59.97,6.43,0,0,85.03,9.03,0,0,74.73,7.07,0,0,66.9,6.63,0,0,66.17,6.27,92.07,2.67,231.87,24,103.13,3.33,195.33,16.1,102.93,3.13,196.77,17,104.87,3.1,160.8,8.93,116.6,2.87,161.37,9.37,69.27,79.75,78.97,85.78,75.61
CH34,SPAIN,1.4,0,52.93,4.83,0.03,0,76.67,7.2,0,0,68.5,5.83,0.47,0,66.47,6.77,0,0,64.33,5.77,105.7,3.3,198.03,16.67,103.63,3.5,193.63,15.73,103.13,3.5,194.23,16.63,105.53,3.33,171.3,11.77,103.2,3.13,190,14.47,67.44,77.79,77.69,83.91,74.52,6.6,0.3,54.07,5.13,0.17,0,76.97,7.47,0.17,0,67.6,6.2,4.07,0.13,67.37,6.5,0,0,63.4,5.73,98.97,3.1,210.17,19.23,99.47,3.17,200.03,16.97,100.6,3.03,199.8,17.17,105.2,3.13,177.53,12.33,113.8,2.73,176.03,11.43,65.77,76.94,76.42,83.44,74.27
CH40,SPAIN,0,0,57.2,4.9,0,0,72.5,6.97,0,0,68.33,6.17,0,0,51.63,4.17,0,0,61.4,5.2,85.9,1.63,246.83,27.03,98.7,2.2,214.9,20.03,94.8,1.83,219.9,21.47,100.97,1.77,164.5,11.23,97.3,2.93,207,19.77,66.1,80.34,79.43,85.17,74.78,0.27,0,52.13,4.63,0,0,73.5,7.63,0,0,69.77,6.87,0.27,0,53.27,4.63,0,0,61.37,5.57,79.3,1.33,257.63,29.6,95.2,2.63,224.03,23.03,92.57,2.37,226.67,24.57,99.53,2.03,170.67,11.83,110.17,2.87,169.8,11.17,64.51,79.06,77.89,84.8,74.82
CH41,SPAIN,0,0,59.5,5.27,0,0,78.2,7.5,0,0,71.4,6.4,0,0,54,4.5,0,0,68.73,5.47,96.3,2.2,225.5,22.5,104.5,3.1,200.4,17.57,102.57,2.8,205.03,18.23,112.33,2.97,156.43,10.1,103.23,3.03,195.1,17.2,69.12,84.29,83.96,88.46,77.51,0.17,0,55.23,5.17,0,0,81.43,8.53,0,0,74.63,7.17,0.27,0,56.57,5,0,0,68.7,6.43,87.87,1.83,239.47,25.77,99.6,2.5,211.2,20.43,98.97,3.27,213.6,21.23,111.03,3.13,161.23,10.27,116.87,2.93,160.13,9.43,67.33,82.85,82.03,88.08,77.39
CH42,SPAIN,0,0,58.93,5.43,0,0,79.33,7.7,0,0,71.87,6.63,0,0,57.33,5.17,0,0,69.07,5.7,100.5,2.57,217.4,20.93,108.73,3.4,186.57,14.73,109.13,3.47,189.8,15.83,113.1,3.57,150.07,8.57,106.67,3.27,185.03,14.7,69.8,82.73,82.38,87.69,77.08,0.5,0,57.03,5.83,0,0,82.03,8.87,0,0,73.77,7.1,0,0,61.43,5.57,0,0,68.3,6.5,92.53,2.2,232.83,23.87,106.17,3.4,197.67,17.03,105.43,3.43,198.9,17.73,111.63,3.1,155.53,9.1,119.33,3.17,155.77,8.67,67.92,81.42,80.6,87.27,76.88
CH43,SPAIN,0,0,65.1,7.17,0,0,80.6,8.33,0,0,72,6.73,0,0,66,7,0,0,68.9,6.13,93.1,2.6,228.5,22.5,106.47,3.67,186.03,14.9,106.3,3.47,189.53,15.47,106.5,3.53,163.9,10.23,105.73,3.47,182.33,13.43,69.48,80.47,80.12,85.76,75.79,1.37,0.03,58,6.13,0.03,0,82.1,8.6,0,0,72.47,6.63,0,0,67.97,7.1,0,0,66.77,6.27,85.7,2.23,242.43,26.13,103.97,3.37,194.07,15.9,103.77,3.3,196.5,16.77,105.53,3.03,167.77,10.2,116.5,2.9,160.5,9.3,67.58,79.38,78.59,85.31,75.53
CH50,SPAIN,0,0,55.7,4.63,0,0,74.7,7.37,0,0,69.3,6.43,0,0,51.97,4.2,0,0,61.57,5.03,87.6,1.57,242.33,25.87,102.6,2.67,206.47,18.23,98.7,2,211.17,19.47,104.17,2.1,161.03,10.9,97.73,2.97,205.73,19.4,65.64,80.34,79.49,85.47,74.99,0.37,0.03,52.37,4.83,0,0,75.83,8.07,0,0,71.2,6.93,0.27,0,52.73,4.43,0,0,62.37,5.67,80.5,1.3,253.77,28.2,98.03,2.77,216.2,21.3,96.17,3.03,219.9,23.03,103.5,2.4,167.97,11.3,111.07,2.63,167.77,10.83,64,79.08,77.9,85.08,74.95
CH51,SPAIN,0,0,59.57,5.17,0,0,78.6,7.67,0,0,71.33,6.37,0,0,53.6,4.37,0,0,69.07,5.5,95.23,2.23,227.37,23.3,107.9,3.1,194.23,16.13,107.33,3.03,198.07,17.47,113.63,3.23,155.03,9.7,104.3,3.2,194.83,16.9,69.98,83.7,83.2,88.24,77.72,0.07,0,56.6,5.6,0,0,81.73,8.67,0,0,74.83,7.2,0,0,57.33,5.2,0,0,69.73,6.57,86.93,1.77,242.13,26.17,104.67,3.13,204.7,18.33,102.23,3.47,206.77,19.4,112.83,2.83,162.23,10.07,116.63,3.17,159.73,9.13,68.08,82.26,81.31,87.83,77.54
CH52,SPAIN,0,0,58.07,5.63,0,0,79.3,7.87,0,0,71.9,6.67,0,0,56.6,4.93,0,0,69.87,5.97,101.7,2.8,212.5,19.67,107.6,3.4,187.9,15,107.47,3.2,191.63,16.07,111.43,3.93,156.5,9.57,106.33,3.47,184.57,14.67,69.2,83.4,82.98,87.89,77.12,0.7,0,56.53,5.8,0,0,82.87,8.8,0,0,74.93,7.33,0.87,0.07,61.93,5.73,0,0,69.13,6.53,93.37,2.53,227.8,22.13,105.6,3.3,199.13,17.07,103.5,3.47,200.93,17.93,109.9,3.3,161.13,9.8,118.83,3.23,154.93,8.63,67.3,82.04,81.16,87.44,76.87
